tool_patch_uid,Oracle,Predicted value
llm4pc-defects4j-Lang-61-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-51-Jaid-patch3,Overfitting,Correct
llm4pc-defects4j-Lang-55-Jaid-patch2,Overfitting,Overfitting
llm4pc-defects4j-Lang-45-Jaid-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Lang-51-Jaid-patch4,Overfitting,Correct
llm4pc-defects4j-Lang-61-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Lang-51-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-55-Jaid-patch3,Overfitting,Overfitting
llm4pc-defects4j-Lang-45-Jaid-patch2,Overfitting,Overfitting
llm4pc-defects4j-Lang-55-Jaid-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-33-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-33-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Chart-9-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-9-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Chart-26-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Chart-26-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-1-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-1-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Chart-1-Jaid-patch3,Overfitting,Correct
llm4pc-defects4j-Chart-9-Jaid-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-53-Jaid-patch3,Overfitting,Correct
llm4pc-defects4j-Math-82-Jaid-patch4,Overfitting,Unknown
llm4pc-defects4j-Math-80-Jaid-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-50-Jaid-patch3,Overfitting,Unknown
llm4pc-defects4j-Math-80-Jaid-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-32-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Math-50-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Math-80-Jaid-patch3,Overfitting,Overfitting
llm4pc-defects4j-Math-82-Jaid-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-53-Jaid-patch4,Overfitting,Overfitting
llm4pc-defects4j-Math-53-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Math-85-Jaid-patch4,Overfitting,Correct
llm4pc-defects4j-Math-85-Jaid-patch3,Overfitting,Correct
llm4pc-defects4j-Math-85-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Math-85-Jaid-patch1,Overfitting,Correct
llm4pc-defects4j-Math-82-Jaid-patch3,Overfitting,Correct
llm4pc-defects4j-Math-53-Jaid-patch2,Overfitting,Correct
llm4pc-defects4j-Math-82-Jaid-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-22-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-39-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-20-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-63-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-27-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-58-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-60-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-44-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-107-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-115-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-126-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-133-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-12-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-13-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-3-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-14-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-7-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-63-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-50-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Math-82-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Math-15-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Math-2-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-96-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-88-TBar-patch1,Overfitting,Correct
llm4pc-defects4j-Math-81-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-8-TBar-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-57-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-63-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-129-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-19-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-FixMiner-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-7-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-14-FixMiner-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-15-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-3-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-17-FixMiner-patch1,Overfitting,Correct
llm4pc-defects4j-Math-50-FixMiner-patch1,Overfitting,Correct
llm4pc-defects4j-Math-81-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-63-FixMiner-patch1,Overfitting,Correct
llm4pc-defects4j-Math-20-FixMiner-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-11-FixMiner-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-27-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-22-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-45-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-46-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-62-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-jKali-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-101-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-jKali-patch2,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-jKali-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-32-jKali-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-71-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-49-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-jKali-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-8-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-29-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-105-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-4-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-53-HDRepair-patch1,Overfitting,Correct
llm4pc-defects4j-Math-57-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-46-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-ACS-patch1,Overfitting,Correct
llm4pc-defects4j-Math-28-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-82-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-4-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-87-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-40-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-21-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-78-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-85-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-39-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-7-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-33-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-32-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-53-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-73-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-71-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-25-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-40-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-58-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-13-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-88-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-15-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-58-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Time-11-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-69-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-50-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-21-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-41-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-4-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-53-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-88-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-49-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-57-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-105-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-9-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-40-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-82-HDRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-ACS-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-25-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-44-Nopol-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-97-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-39-ACS-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-24-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-HDRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-39-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-8-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-50-HDRepair-patch1,Overfitting,Unknown
llm4pc-defects4j-Lang-58-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-81-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-11-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-12-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-104-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-5-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-7-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-95-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-18-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-82-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-4-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-78-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Math-84-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-jGenProg-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-26-Nopol-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-13-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-97-ACS-patch1,Overfitting,Correct
llm4pc-defects4j-Math-87-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-14-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-3-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-42-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-33-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-11-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Time-19-Nopol-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-15-jKali-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-SketchFix-patch2,Overfitting,Correct
llm4pc-defects4j-Chart-1-SketchFix-patch1,Overfitting,Correct
llm4pc-defects4j-Math-82-SketchFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-70-SketchFix-patch1,Overfitting,Correct
llm4pc-defects4j-Math-33-SketchFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-82-SketchFix-patch2,Overfitting,Correct
llm4pc-defects4j-Math-70-SketchFix-patch2,Overfitting,Correct
llm4pc-defects4j-Lang-39-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-27-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-jGenProg-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-22-jGenProg-patch1,Overfitting,Unknown
llm4pc-defects4j-Chart-5-jGenProg-patch2,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-jGenProg-patch2,Overfitting,Correct
llm4pc-defects4j-Chart-3-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-jGenProg-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-73-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-60-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-jGenProg-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-50-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-8-jGenProg-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-81-jGenProg-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-85-jGenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-jGenProg-patch2,Overfitting,Overfitting
llm4pc-defects4j-Math-81-ACS-patch2,Overfitting,Correct
llm4pc-defects4j-Math-97-ACS-patch2,Overfitting,Correct
llm4pc-defects4j-Math-73-ACS-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-93-ACS-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-16-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-41-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-50-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-45-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-27-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-10-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-1-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-63-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-12-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-61-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-108-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-107-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-126-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-57-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-46-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-38-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-26-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-109-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-14-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-106-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-12-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-18-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-22-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-3-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-73-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-44-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-6-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-8-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-SimFix-patch1,Overfitting,Unknown
llm4pc-defects4j-Math-82-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-69-SimFix-patch1,Overfitting,Correct
llm4pc-defects4j-Math-63-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-43-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-50-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-88-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-1-SimFix-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-22-AVATAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-20-AVATAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-58-AVATAR-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-39-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-51-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-63-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-59-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-13-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-48-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-45-AVATAR-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-12-AVATAR-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-126-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-108-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-66-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-26-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-7-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-14-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-15-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-50-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-104-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-88-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-57-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-82-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-6-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-2-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-62-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-78-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-49-AVATAR-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-7-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-78-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-55-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-114-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-75-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-GenProg-patch1,Overfitting,Correct
llm4pc-defects4j-Closure-10-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-59-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-124-GenProg-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-67-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-112-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-GenProg-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-3-GenProg-patch1,Overfitting,Overfitting
